Country,Region,,,
Papua New Guinea,Asia-Pacific,,,
Paraguay,Latin American and Caribbean,,,
Peru,Latin American and Caribbean,,,
Philippines,Asia-Pacific,,,
Poland,Eastern Europe,,,
Portugal,Western Europe and Others,,,
Qatar,Asia-Pacific,,,
Republic of Korea,Asia-Pacific,,,
Republic of Serbia,Eastern Europe,,,
Romania,Eastern Europe,,,
Russia,Eastern Europe,,,
Rwanda,Africa,,,
Saint Kitts and Nevis,Latin American and Caribbean,,,
Saint Lucia,Latin American and Caribbean,,,
Saint Vincent and the Grenadines,Latin American and Caribbean,,,
Samoa,Asia-Pacific,,,
San Marino,Western Europe and Others,,,
São Tomé and Príncipe,Africa,,,
Saudi Arabia,Asia-Pacific,,,
Senegal,Africa,,,
Seychelles,Africa,,,
Sierra Leone,Africa,,,
Singapore,Asia-Pacific,,,
Slovakia,Eastern Europe,,,
Slovenia,Eastern Europe,,,
Solomon Islands,Asia-Pacific,,,
Somalia,Africa,,,
South Africa,Africa,,,
South Sudan,Africa,,,
Spain,Western Europe and Others,,,
Sri Lanka,Asia-Pacific,,,
Sudan,Africa,,,
Suriname,Latin American and Caribbean,,,
Swaziland,Africa,,,
Sweden,Western Europe and Others,,,
Switzerland,Western Europe and Others,,,
Syrian Arab Republic,Asia-Pacific,,,
Tajikistan,Asia-Pacific,,,
Tanzania,Africa,,,
Thailand,Asia-Pacific,,,
The former Yugoslav ,Eastern Europe,,,
Timor-Leste,Asia-Pacific,,,
Togo,Africa,,,
Tonga,Asia-Pacific,,,
Trinidad and Tobago,Latin American and Caribbean,,,
Tunisia,Africa,,,
Turkey,Asia-Pacific,,,
Turkmenistan,Asia-Pacific,,,
Tuvalu,Asia-Pacific,,,
Uganda,Africa,,,
Ukraine,Eastern Europe,,,
United Arab Emirates,Asia-Pacific,,,
United Kingdom,Western Europe and Others,,,
United States,Western Europe and Others,,,
Uruguay,Latin American and Caribbean,,,
Uzbekistan,Asia-Pacific,,,
Vanuatu,Asia-Pacific,,,
Venezuela,Latin American and Caribbean,,,
Vietnam,Asia-Pacific,,,
Yemen,Asia-Pacific,,,
Zambia,Africa,,,
Zimbabwe,Africa,,,
